video_id,publishedAt,channelId,title,description,thumbnails.default.url,channelTitle,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,tags
ZFUr7YRSu2o,2020-10-18T00:00:00Z,UCCaChdLMTYMxyawR_Qf-kYA,Advanced R Book Club: Chapter 8: Conditions (2020-09-24) (advr02),"Abby Vander Linden presenting Chapter 8: ""Conditions"" from Advanced R by Hadley Wickham on September 24, 2020, to the R4DS Book Club (cohort 2).",https://i.ytimg.com/vi/ZFUr7YRSu2o/default.jpg,R4DS Online Learning Community,NA,NA,NA,NA,NA,NA
xInDdtaJDm0,2020-10-25T00:00:00Z,UCxrpjLYi_Akmbc2QICDvKaQ,Introduction to Advanced Data Analysis in R programming language (Second Lesson/Class),"Prior knowledge of programming and statistics are not required. It's only an introduction to Advanced Data Analysis, and we will continue every Saturdays with ...",https://i.ytimg.com/vi/xInDdtaJDm0/default.jpg,Clement Twumasi Educative Channel,NA,NA,NA,NA,NA,NA
GxvccD8K49M,2020-05-22T00:00:00Z,UCMwM-3tg_-Pbx8hKO78q5EA,Functional Programming using the Purrr Package webinar,This webinar was facilitated by Tom Jemmett (Senior Healthcare Analyst at The Strategy Unit) on Wednesday 20th May 2020 from 1-2pm.,https://i.ytimg.com/vi/GxvccD8K49M/default.jpg,NHSR Community,NA,NA,NA,NA,NA,NA
7Y8rcHw_8Vw,2017-02-02T00:00:00Z,UC6fiFY3hkDaSuC7VtMsmbhg,Easily reading dates in R,"How to read dates into an R dataframe using the as.Date() function Check our 50% discount coupon on Udemy for ""Advanced R"" (5h course on Advanced R ...",https://i.ytimg.com/vi/7Y8rcHw_8Vw/default.jpg,Amazing data science projects,NA,NA,NA,NA,NA,NA
ZWdIeR1jK9Q,2021-03-25T00:00:00Z,UCCaChdLMTYMxyawR_Qf-kYA,Advanced R Book Club Chapter 25: Rewriting R code in C++ (2021-03-22) (advr03),"Anne Hoffrichter presents Chapter 25: Rewriting R code in C++ from Advanced R by Hadley Wickham on 2021-03-2, to the Advanced R book club (cohort 3).",https://i.ytimg.com/vi/ZWdIeR1jK9Q/default.jpg,R4DS Online Learning Community,NA,NA,NA,NA,NA,NA
sCso4FAF1DE,2021-04-15T00:00:00Z,UCCaChdLMTYMxyawR_Qf-kYA,Advanced R Book Club: Chapter 23: Measuring performance (2021-04-05) (advr04),"Emily Wissel presents Chapter 23 (""Measuring performance"") from Advanced R by Hadley Wickham on 2021-04-05, to the R4DSCommunity Book Club (cohort ...",https://i.ytimg.com/vi/sCso4FAF1DE/default.jpg,R4DS Online Learning Community,NA,NA,NA,NA,NA,NA
0T9VLk0jLzQ,2020-06-01T00:00:00Z,UCNU_lfiiWBdtULKOw6X0Dig,Python Vs R Programming Language- Which One Should You Choose?,"If you are looking for career transition advice towards Data Science, please visit Springboard India youtube channel ...",https://i.ytimg.com/vi/0T9VLk0jLzQ/default.jpg,Krish Naik,NA,NA,NA,NA,NA,NA
9mBNkoKFnR0,2015-12-03T00:00:00Z,UCCUr096WDp86n62CXBeHlQw,Functional Programming in R Part I,Paper: Advanced R Module : Functional Programming in R Part I.,https://i.ytimg.com/vi/9mBNkoKFnR0/default.jpg,Vidya-mitra,NA,NA,NA,NA,NA,NA
mwiNe083DLU,2020-05-23T00:00:00Z,UCCaChdLMTYMxyawR_Qf-kYA,Advanced R Book Club - Chapter 8:  Conditions (2020-05-21) (advr01),"Maya Gans presenting Chapter 8 (Conditions) from Hadley Wickham's ""Advanced R"" book to the book club on May 21, 2020. Join the conversation at ...",https://i.ytimg.com/vi/mwiNe083DLU/default.jpg,R4DS Online Learning Community,NA,NA,NA,NA,NA,NA
EirMlpr7gDM,2021-07-26T00:00:00Z,UCy4Ri5YMKrT4g601nhy3TBg,Mastering R Programming - learn Database Design &amp; Development,link to this course ...,https://i.ytimg.com/vi/EirMlpr7gDM/default.jpg,Effie Desiree,NA,NA,NA,NA,NA,NA
k8NJFLMZiRs,2018-12-04T00:00:00Z,UCZ50rYSkYQG31YDEJm9Di_g,R Programming - Overview and History of R by Johns Hopkins University,"This video is part of an online course, R Programming created by Johns Hopkins University. Enroll today at ...",https://i.ytimg.com/vi/k8NJFLMZiRs/default.jpg,Coursera,NA,NA,NA,NA,NA,NA
q7lFXSLdC1g,2020-11-21T00:00:00Z,UCCaChdLMTYMxyawR_Qf-kYA,"Advanced R Book Club: Chapter 13: S3, part 1 (2020-11-17) (advr03)","Anne Hoffrichter presents the first half of chapter 13 (""S3"") from Advanced R by Hadley Wickham on November 17, 2020, to the R4DS Book Club, cohort 3.",https://i.ytimg.com/vi/q7lFXSLdC1g/default.jpg,R4DS Online Learning Community,NA,NA,NA,NA,NA,NA
mwiNe083DLU,2020-05-23T00:00:00Z,UCCaChdLMTYMxyawR_Qf-kYA,Advanced R Book Club - Chapter 8:  Conditions (2020-05-21) (advr01),"Maya Gans presenting Chapter 8 (Conditions) from Hadley Wickham's ""Advanced R"" book to the book club on May 21, 2020. Join the conversation at ...",https://i.ytimg.com/vi/mwiNe083DLU/default.jpg,R4DS Online Learning Community,NA,NA,NA,NA,NA,NA
EirMlpr7gDM,2021-07-26T00:00:00Z,UCy4Ri5YMKrT4g601nhy3TBg,Mastering R Programming - learn Database Design &amp; Development,link to this course ...,https://i.ytimg.com/vi/EirMlpr7gDM/default.jpg,Effie Desiree,NA,NA,NA,NA,NA,NA
q7lFXSLdC1g,2020-11-21T00:00:00Z,UCCaChdLMTYMxyawR_Qf-kYA,"Advanced R Book Club: Chapter 13: S3, part 1 (2020-11-17) (advr03)","Anne Hoffrichter presents the first half of chapter 13 (""S3"") from Advanced R by Hadley Wickham on November 17, 2020, to the R4DS Book Club, cohort 3.",https://i.ytimg.com/vi/q7lFXSLdC1g/default.jpg,R4DS Online Learning Community,NA,NA,NA,NA,NA,NA
tEYoo3JwdTc,2018-04-09T00:00:00Z,UCysfQYof19Zs6btYGeBe85Q,"How to do statistics with an Arduino? (R, Rstudio,...) | UATS Advanced Programming #02","In this episode, I demonstrate how you can transfer data from an Arduino to Rstudio. The data comes from two HC SR04 distance sensors. In Rstudio, we apply a ...",https://i.ytimg.com/vi/tEYoo3JwdTc/default.jpg,Michael Schoeffler,NA,NA,NA,NA,NA,NA
x5I_uHnMxIk,2020-09-24T00:00:00Z,UCCaChdLMTYMxyawR_Qf-kYA,Advanced R Book Club: Chapter 5: Control Flow (2020-08-27) (advr02),"Erick Knackstedt presenting Chapter 5: ""Control Flow"" from Advanced R by Hadley Wickham on August 27, 2020, to the R4DS Book Club (cohort 2). Join the ...",https://i.ytimg.com/vi/x5I_uHnMxIk/default.jpg,R4DS Online Learning Community,NA,NA,NA,NA,NA,NA
8sdNQsAFtbc,2015-11-25T00:00:00Z,UCF6U5Z2Ok9wmHcXsQK2OHgw,Download &quot;Advanced R Topics&quot; - Sepehr Akhavan - Data Science Talk - PART 2,You can access the slides and codes online: https://github.com/UCIDataScienceInitiative/AdvancedRWorkshop.,https://i.ytimg.com/vi/8sdNQsAFtbc/default.jpg,UCIBrenICS,NA,NA,NA,NA,NA,NA
vKKDU6x3BE8,2020-11-21T00:00:00Z,UCCaChdLMTYMxyawR_Qf-kYA,Advanced R Book Club: Chapter 17: Metaprogramming Big Picture (2020-11-19) (advr02),"Josh Pohlkamp-Hartt presenting Chapter 17 (""Big picture"" [of Metaprogramming]) from Advanced R by Hadley Wickham on November 19, 2020, to the R4DS ...",https://i.ytimg.com/vi/vKKDU6x3BE8/default.jpg,R4DS Online Learning Community,NA,NA,NA,NA,NA,NA
iv3Vz4y5I9A,2017-03-10T00:00:00Z,UC3VydBGBl132baPCLeDspMQ,Mastering R Programming : Implementing Best Practices to Speed Up R Code | packtpub.com,"This playlist/video has been uploaded for Marketing purposes and contains only selective videos. For the entire video course and code, visit [http://bit.ly/2jDsrGS] ...",https://i.ytimg.com/vi/iv3Vz4y5I9A/default.jpg,Packt Video,NA,NA,NA,NA,NA,NA
dYSt11KVG7c,2021-06-08T00:00:00Z,UCRhUp6SYaJ7zme4Bjwt28DQ,Data Mining With R Programming - Techniques for ANY Professional,"Data mining with R programming is wildly useful for ANY professional looking to have more impact at work with data. In this video, I show 4 data mining ...",https://i.ytimg.com/vi/dYSt11KVG7c/default.jpg,David Langer,NA,NA,NA,NA,NA,NA
wEI0KApqWak,2021-01-28T00:00:00Z,UCgIdvae7D7IiCcHQlbQzrwg,Week 2: Basic Statistics in R,UD GEOG473/673 Advanced R Course - Basic Statistics tutorial. Week 2 of Advanced R. Link: https://jsimkins2.github.io/geog473-673/basic-statistics.html.,https://i.ytimg.com/vi/wEI0KApqWak/default.jpg,Prof Simkins,NA,NA,NA,NA,NA,NA
fNqPDw3mxCE,2019-11-25T00:00:00Z,UCs-nBi9EHYxyG7OEybbUA2Q,"Automated analysis, reporting and presentations using R and LaTex","Have you wondered how to create automated reports in R? Are there certain dashboards, reports and presentations that show the same analysis for different ...",https://i.ytimg.com/vi/fNqPDw3mxCE/default.jpg,Ashutosh Nandeshwar,NA,NA,NA,NA,NA,NA
tuafimbMyKk,2021-05-22T00:00:00Z,UCCaChdLMTYMxyawR_Qf-kYA,Advanced R Book Club: Ch 7: Environments (2021-05-04) (advr05),"Adrian Fletcher presents Chapter 7 (""Environments"") from Advanced R by Hadley Wickham on 2021-05-04, to the R4DS Book Club (cohort 5). Join the ...",https://i.ytimg.com/vi/tuafimbMyKk/default.jpg,R4DS Online Learning Community,NA,NA,NA,NA,NA,NA
M-ofC23gSZ4,2020-11-18T00:00:00Z,UC2omzv46PN7PqRpiR2MF1Sw,Controlling Concurrency: Advanced Go Programming,There's a lot that can be said about writing concurrent programs in Go. But one thing that is rarely mentioned is the best way to LIMIT concurrency. Controlling ...,https://i.ytimg.com/vi/M-ofC23gSZ4/default.jpg,Sam x Smith,NA,NA,NA,NA,NA,NA
bQ8GPhsohM4,2021-04-25T00:00:00Z,UCw088NZu4Unz-ZG9mBzo95A,R Programming - Vector Operations,"In this tutorials, we will learn "" How to do Vector Operations"" in R Programming. As we know that functions are used to combine vectors. Arithmetic Operations on ...",https://i.ytimg.com/vi/bQ8GPhsohM4/default.jpg,Mukesh Singh,NA,NA,NA,NA,NA,NA
mrQIUhJGhgQ,2021-03-11T00:00:00Z,UCFaPVDR5VSRCluF1j0F5mdA,R Workshop 2 : Advanced,This was our second workshop of a two-part course designed to level up your skills in data science. We covered advanced R skills involving the grammar of ...,https://i.ytimg.com/vi/mrQIUhJGhgQ/default.jpg,Monash Data Science Society,NA,NA,NA,NA,NA,NA
DPAsYtUHkkM,2019-02-27T00:00:00Z,UCkw4JCwteGrDHIsyIIKo4tQ,Predictive Analytics Using R | Data Science With R |  Data Science Certification Training | Edureka,"Data Science Certification using R: https://www.edureka.co/data-science-r-programming-certification-course ** This Edureka video on ""Predictive Analytics ...",https://i.ytimg.com/vi/DPAsYtUHkkM/default.jpg,edureka!,NA,NA,NA,NA,NA,NA
oo7uy7jjJDg,2017-01-25T00:00:00Z,UC6fiFY3hkDaSuC7VtMsmbhg,Parsing complex dates from a csv in R,"How to parse dates in R, using apply(). Sometimes, we get dates with a varying format per row in our dataframe, and we cannot apply the as.Date() function so ...",https://i.ytimg.com/vi/oo7uy7jjJDg/default.jpg,Amazing data science projects,NA,NA,NA,NA,NA,NA
k8K4yjIuocs,2019-09-18T00:00:00Z,UCKdaNGnSCIexsngvaeArBqw,"Subliminal Positive Affirmations for Success, Money, Abundance | LOA Advanced Deep Sleep Programming","Subliminal positive affirmations for success, money, abundance, and wealth creation. This LOA advanced deep sleep programming track has powerful ...",https://i.ytimg.com/vi/k8K4yjIuocs/default.jpg,High Vibes Now!,NA,NA,NA,NA,NA,NA
